イニシャル,ホテル名,住所,備考
アパ,アパホテル〈札幌大通駅前南〉,札幌市中央区南２条西７丁目１０−１,南２条通北側
アパ,アパホテル〈TKP札幌駅前〉,札幌市中央区北２条西２丁目19 TKP札幌ビル6F,北３条通南側
アパ,アパホテル〈TKP札幌駅北口〉EXCELLENT,札幌市北区北１０条西３丁目７,９と１０の間北側
アパ,アパホテル〈札幌すすきの駅前〉,札幌市中央区南４条西２丁目２−５,ローソン
アパ,アパホテル〈札幌すすきの駅西〉,札幌市中央区南４条西７丁目１−１,
アパ,アパホテル〈札幌豊水すすきの駅前〉,札幌市中央区南６条西１丁目１１−２,６条と７条の間中通北側
アパ,アパホテル＆リゾート〈札幌〉,札幌市南区川沿４条２丁目,
アク,アクシアイン札幌すすきの,札幌市中央区南６条西５丁目８−６,5丁目と6丁目の間、東側
アル,アルファベッドイン札幌,札幌市中央区南１条西７丁目20−２,１条通北側
アベ,アベスト札幌,札幌市中央区南２条西６丁目１−１,元のサンルートニュー札幌
アン,アンドルームス札幌すすきの,札幌市中央区南７条西１丁目１−９,南６条と７条の間　南側　ｏｒ創成川側道沿い
ウイ,ホテルウイングインターナショナル札幌,札幌市中央区南６条西６丁目２−２,南６条通南側
ヴィ,ヴィラコウシドウ 大通り,札幌市中央区大通西１４丁目３−１８,大通り１３と１４の間
ヴィ,ヴィラコウシドウ琴似,札幌市西区琴似２条５丁目２−１０,琴似本通７－１１の裏
ヴィ,ヴィラコウシドウ琴似アネックス,札幌市西区琴似2条4丁目4-26,本通からヤマチの角を北に行き西側
ヴィ,ヴィアインプライム札幌大通り,札幌市中央区南３条西２丁目１０−１,南向き一通西側
ウイ,ウインダムガーデン札幌大通（ＦＰ　ＨＯＴＥＬＳ）,札幌市中央区南２条西７丁目７−１,北向き一通西側
エミ,ホテル　エミオン札幌,札幌市北区北８条西１丁目４番地,北８条通り　北側
O,ONSEN RYOKAN 由縁,札幌市中央区北１条西７丁目６,昔のエルムホテル
オデ,オディシス札幌大通公園ホテル,札幌市中央区大通西8-2-36,北大通りに面している　旧ベストウエスタン
カプ,カプセルイン札幌,札幌市中央区南３条西３丁目７,都通り
カラ,からくさホテル,札幌市中央区南３条西５丁目２４,南3条通　北側
ガー,ガーデンズキャビン,札幌市中央区南１条西４丁目４−１ 太陽ビル,南1条通り　南側　１Ｆ　セブンイレブンがある
ガー,ガーデンズスティ東札幌,札幌市東札幌３条２丁目１−３,南郷通　旧アセントイン
クラ,ホテルクラッセスティ札幌,札幌市中央区南８条西２丁目５−９０,西3丁目通
クロ,クロスホテル,札幌市中央区北２条西２丁目２３,２条と３条の間　一通東側
クイ,クインテッサホテル 札幌,札幌市中央区南８条西５丁目,セイコーマートの向かえ
クイ,クインテッサホテル札幌すすきの,札幌市中央区南６条西４丁目１-２,南６条通南側　野口ビル隣
クイ,クインテッサホテル札幌すすきの６３　Relax&Spa,札幌市中央区南６条西３丁目１−１１,南6条と7条の間の道　東向き一通（旧ｾﾝﾁｭﾘｵﾝﾎﾃﾙ）
クラ,札幌グランベルホテル,札幌市中央区南3条西8丁目10-1,アーケードのない狸小路　南側
クラ,すすきのグランベルホテル,札幌市中央区南５条西２丁目６−２,５条通　社交会館並び
クラ,札幌ホテル バイ グランベル,札幌市東区北６条東２丁目２−２,北７条通　南側　ｏｒ　南向き一通西側
グロ,ホテルグローバルビュー札幌,札幌市中央区南６条西８丁目2−１,西７丁目、８丁目の間、西側
ケイ,ホテル京阪札幌,札幌市北区北６条西６丁目１−９,南から来ると一通からガード下超えて右折
ケイ,京王プレリアホテル札幌,札幌市北区北８条西４丁目１１−１,北大通
ケイ,京急ＥＸホテル札幌,札幌市北区北６条西４丁目２−６,ノースゲート跡
G,GUEST HOUSE NONAKA,札幌市中央区南５条西９丁目１０１６−１３,西８、９丁目通を北に向かいテンポスを左、北側
コン,コンフォートホテル札幌,札幌市中央区南５条西１丁目２−１０,北向一通西側
コー,コートヤード バイ マリオット札幌,札幌市中央区南10条西1丁目1番57号,豊水通り　７月２３日ＯＰＥＮ
ザ,ザ ノット札幌,札幌市中央区南３条西３丁目１６−２,千秋庵のビル
シア,シアテル札幌,札幌市中央区南４条西５丁目８ F-45ビル 3階,Ｆ４５ビル
スー,スーパーホテル札幌 すすきの,札幌市中央区南６条西２丁目８−１,
スー,スーパーホテル北５条通り,札幌市中央区北４条西１２丁目１−４,北５条通り
スマ,スマイルホテルプレミアム札幌すすきの,札幌市中央区南４条西１丁目１３−１,36号線沿
スマ,スマイルホテル札幌すすきの南,札幌市中央区南７条西１丁目１３－７,ローソンななめ向かい　旧レッドプラネット
サツ,札幌ストリームホテル,札幌市中央区南４条西４丁目1−１,COCONO SUSUKINO内
ソラ,ソラリア西鉄ホテル札幌,札幌市中央区北４条西５丁目１−２,北４条通北側
ソウ,相鉄フレッサイン札幌すすきの,札幌市中央区南５条西２丁目６−１,南向一通西側
創成,ホテル創成札幌Ｍギャラリー,札幌市中央区北2条東3丁目 サッポロファクトリー西館,２条と３条の間　旧クラビー札幌
北海,北海道第一ホテルサッポロ,札幌市北区北２３条西４丁目２−６,２３と２４の間
ダイ,ダイワロイネットホテル 札幌すすきの,札幌市中央区南４条西１丁目２−１,
ダイ,ダイワロイネットホテル中島公園,札幌市中央区南９条西５丁目１−１,南９条通南側
暖雪,暖雪　札幌,札幌市中央区南6条東2丁目1-1,南５条と南６条の間　（旧東横イン札幌すすきの南）
テン,テンザホテル＆スカイスパ・札幌セントラル,札幌市中央区南２条西８丁目６−１,南２条通　南側
トウ,東急スティ 札幌,札幌市中央区南１条西１丁目１３−４,１条通から創成通と南向１通の間の一通を南に向かい東側
トウ,東急スティ札幌大通,札幌市中央区南２条西５丁目26−２,南向一通西側
トウ,東横INN札幌駅南口,札幌市中央区北３条西１丁目１−１６,北３条通から中通西側
トウ,東横INN札幌駅北口,札幌市北区北６条西１丁目４−３,
トウ,東横INNすすきの交差点,札幌市中央区南４条西３丁目４−１,
トウ,東横INN札幌駅西口北大前,札幌市北区北８条西４丁目22−７,北大通
トラ,トラベロッジ札幌すすきの,札幌市中央区南６条西５丁目12−１,南６条通北側　旧レッドプラネット
ドー,ドーミーイン ＰＲＥＭＩＵＭ,札幌市中央区南２条西６丁目４−１,南２条通南側
ドー,ドーミーインＡＮＮＥＸ,札幌市中央区南３条西６丁目１０−６,南３条通北側
ニコ,ニコーリフレ,札幌市中央区南３条西２丁目１４ ニコービル 4F,南３条通北側
ニュ,ホテルニューバジェット札幌,札幌市中央区南３条西６丁目７−１,南３条通南側　ｏｒ北向き一通西側
ネッ,ホテルネッツ札幌,札幌市中央区南７条西４丁目２−１,南７条通
ネス,ネストホテル 札幌駅前,札幌市中央区北２条西２丁目９,北2条と3条の中通　北向き一通東側
ネス,ネストホテル札幌大通,札幌市中央区南２条西５丁目２６−１,南1条と2条の中通　西向き一通南側
ノー,ホテルノースシテイ,札幌市中央区南９条西１丁目１−２０,
ビジ,ビジネスホテルノルテ,札幌市中央区南11条西1-1-1,ＲＩＯのところ
ビジ,ビジネスホテルノルテⅡ,札幌市北区北１０条西４丁目１−２２,北大通　１０と１１の交差点を入る
ハシ,ホテルハシモト,札幌市中央区南２条東２丁目4−番地,北向一通左側ｏｒ西側の中通一通東側
パー,ホテルパールシティ札幌,札幌市中央区北３条西２丁目１−２６,北３条と北４条の間　北向き一通東側
ビス,ホテルビスタ札幌大通り,札幌市中央区南３条西５丁目１６,南３条通北側、三河屋会館隣
ビス,ホテルビスタ札幌中島公園,札幌市中央区南９条西４丁目５,南９条通南側
ビス,ビスポークホテル札幌,札幌市中央区南２条西１丁目７−９,南２条通南側
フェ,フェアフィールド・バイ・マリオット札幌,札幌市中央区南４条東１丁目,昔の東武ホテル
フレ,フレイムホテル札幌,札幌市中央区南５条西７丁目８−１,南４条と5条の中通　東向き一通南側
プレ,プレミアホテル ＣＡＢＩＮ札幌,札幌市中央区南５条西７丁目,
プレ,プレミアホテルＴＳＵＢＡＫＩ札幌,札幌市豊平区豊平４条１丁目１−１,
プレ,プレミアホテル 中島公園 札幌,札幌市中央区南１０条西６丁目１−２１,
フォ,ホテルフォルツァ札幌駅前,札幌市中央区北３条西２丁目１−１,北3条と4条の間
ブー,ブーゲンビリア札幌,札幌市中央区南２条西７丁目６−１,7丁目と8丁目の間　東側　狸小路入口
プラ,プラスホステル札幌,札幌市中央区南３条西５丁目３２ 狸小路5丁目アーケード内,狸小路5丁目内
ベッ,ベッセルイン 札幌中島公園,札幌市中央区南９条西４丁目１−２,
ベッ,ベッセルホテルカンパーナすすきの,札幌市中央区南５条西６丁目１６−１,
マイ,ホテルマイステイズ プレミア札幌パーク,札幌市中央区南９条西２丁目２−１０,
マイ,ホテルマイステイズ中島公園,札幌市中央区南１４条西１丁目１−２０,
マイ,ホテルマイステイズ中島公園別館,札幌市中央区南１１条西１丁目４−３,
マイ,ホテルマイステイズ札幌駅北口,札幌市北区北８条西４丁目１５,北８条北９条の中通
マイ,ホテルマイステイズ札幌アスペン,札幌市北区北８条西４丁目５,
マイ,ホテルマイステイズ札幌すすきの,札幌市中央区南７条西５丁目１−７,昔のＫＡＩＫＯ
マキ,ホテル牧,札幌市中央区南１３条西７丁目１−２０,電車通７－１１の交差点を左
ミツ,三井ガーデンホテル札幌,札幌市中央区北５条西６丁目１８−３,
ミツ,三井ガーデンホテル札幌ウエスト,札幌市中央区北５条西６丁目2−４,
メル,メルキュール札幌,札幌市中央区南4条西2丁目2-4,
グラ,グランドメルキュール札幌大通公園,札幌市中央区北1条西11丁目,旧ロイトン札幌　2024年4月ＯＰＥＮ予定
ラフ,ホテルラフィナート札幌,,南３条通　北側　旧コンフォート
ライ,ホテルライフォート札幌,札幌市中央区南３条西９丁目９９８−６,
ラン,ランプライトブックスホテル,札幌市中央区南２条西７丁目５−１,狸小路の中
ラシ,ラ・ジェントスティ゙札幌大通,札幌市中央区南２条西５丁目２６−５,南2条通北側　or　南向き一通西側
ラシ,ラ・ジェントスティ新札幌,札幌市厚別区厚別中央１条６丁目３−５,厚別中央１条６丁目３−５
リリ,ホテルリリーフ札幌すすきの,札幌市中央区南８条西３丁目１−４,駅前通と北向１通のななめ中通南側
リッ,リッチモンドホテル 札幌駅前,札幌市中央区北３条西１丁目１−７,
リッ,リッチモンドホテル札幌大通,札幌市中央区南２条西４丁目４−１,南２条通南側
リソ,ホテルリソル 札幌中島公園,札幌市中央区南９条西４丁目４−１０,南９条通り
リソ,ホテルリソルトリニティ,札幌市中央区大通西５丁目３,
リブ,ホテルリブマックスPREMIUM札幌大通公園,札幌市中央区南２条西９丁目１−２０,南１条と南２条の中通
リブ,ホテルリブマックス 札幌すすきの,札幌市中央区南７条西６丁目４−１,南７条通北側
リブ,ホテルリブマックスBUDGET札幌駅前,札幌市北区北６条西７丁目５−７,北向き一通ファミマの奥
リブ,ホテルリブマックス札幌中島公園GRANDE,札幌市中央区南９条西３丁目１−２６,昔からあるところ
ルー,ホテルルートイン札幌中央,札幌市中央区南５条西５丁目13番1,南５条通
ルー,ホテルルートイン札幌駅前北口,札幌市北区北７条西４丁目２−２,
ルー,ホテルルートイン札幌北四条,札幌市中央区北４条西１３丁目１−５３,北５条通　南側
ルー,ホテルルートイン札幌白石,札幌市白石区北郷４条２丁目１−５,環状通沿
L,LESTEL MARU,札幌市中央区大通西２３丁目１−１,大通東向き北側
レジ,レジデンスホテル　ストライプ札幌,札幌市北区北７条西６丁目２−２７,北８条通　南側
レン,レンブライドスタイル札幌,札幌市中央区南７条西５丁目１−１,南７条通　セイコーマートの向かい側
ロン,ホテルロンシャン札幌,札幌市中央区南５条東１丁目１,創成川通東側
ロー,ホテルローヤルスティ札幌,札幌市中央区南６条西８丁目2−１ ホテルローヤルステイ・サッポロ 1階,南６条通北側　7丁目と8丁目の間
サ,ザ ロイヤルキャンバス札幌大通公園,札幌市中央区大通西１丁目１２,南大通に面している
ワシ,ワシントンホテルプラザ,札幌市北区北６条西１丁目３−９,東横イン北口の隣
T,the b 札幌,札幌市中央区南３条西２丁目１７−１７,南３条通北側、北向一通右側、交差点　旧ＷＢＦフォースティ
F,FAV SAPPORO SUSUKINO,札幌市中央区南６条西７丁目2‐2,南６条通南側　FAV　ＬＵＸ札幌すすきの
J,ホテルJALシティ 中島公園,札幌市中央区南８条西３丁目１−２５,イビススタイルの並び
J,JRイン 札幌,札幌市中央区北５条西６丁目１,南向き一通西側
J,JRイン札幌北2条,札幌市中央区北２条西２丁目８−１,南向き一通西側
J,JRイン 札幌駅南口,札幌市中央区北３条西１丁目１０,
J,JRホテルメッツ札幌,札幌市北区北７条西２丁目5−３,１丁目と２丁目の間　西側
J,JRタワーホテル日航札幌,札幌市中央区北５条西２丁目5番地,１丁目と２丁目の間　西側
K,KOKOホテル 札幌駅前,札幌市中央区北１条西３丁目３−１０,北2条通　南側　旧ユニゾイン
K,KOKOホテル札幌大通,札幌市中央区南１条西６丁目８−１,南１条通り　旧フィーノ
P,plat hostel keikyu sapporo ichiba,札幌市中央区南３条東２丁目18−１,南２条通南側　角
P,plat hostel keikyu sapporo sky,札幌市中央区南７条西２丁目２−１４,アパすすきの南の向かえ
S,SAN GRAN HOTEL札幌大通,道札幌市中央区北１条西４丁目1−１ 三甲大通公園ビル 4階,北１条通　三甲大通公園ビル4階
T,Tマークシティホテル札幌,札幌市中央区南7条西5丁目,南７条通　北側
T,Tマークシティホテル札幌大通,札幌市中央区南2条西7丁目12-1,7丁目と8丁目の間　東側
T,Tabist THE GREEN SAPPORO,幌市中央区南３条西２丁目１−５,南向き一通西側　ＭＫタクシー乗り場の裏（北側）
W,ホテルWBF 札幌中央,札幌市中央区南２条西１丁目２−２,南２条通北側